Index  Binary       Word      Braille6  Braille8  ShortBraille8  Braille8NumbersRaised                            
35     00000100011  afford    ⠁⠋⠋⠕⠗⠙    ⡁⢋⢋⢕⣗⡙    ⡁ ⢋ ⢋ ⢕        17 1248 1248 1358 123578 1457                    
36     00000100100  afraid    ⠁⠋⠗⠁⠊⠙    ⡁⢋⣗⡁⣊⡙    ⡁ ⢋ ⣗ ⡁        17 1248 123578 17 2478 1457                      
37     00000100101  again     ⠁⠛⠁⠊⠝     ⡁⠛⡁⣊⠝     ⡁ ⠛ ⡁ ⣊        17 1245 17 2478 1345                             
38     00000100110  age       ⠁⠛⠑       ⡁⠛⣑       ⡁ ⠛ ⣑          17 1245 1578                                     
39     00000100111  agent     ⠁⠛⠑⠝⠞     ⡁⠛⣑⠝⠞     ⡁ ⠛ ⣑ ⠝        17 1245 1578 1345 2345                           
40     00000101000  agree     ⠁⠛⠗⠑⠑     ⡁⠛⣗⣑⣑     ⡁ ⠛ ⣗ ⣑        17 1245 123578 1578 1578                         
41     00000101001  ahead     ⠁⠓⠑⠁⠙     ⡁⢓⣑⡁⡙     ⡁ ⢓ ⣑ ⡁        17 1258 1578 17 1457                             
42     00000101010  aim       ⠁⠊⠍       ⡁⣊⢍       ⡁ ⣊ ⢍          17 2478 1348                                     
43     00000101011  air       ⠁⠊⠗       ⡁⣊⣗       ⡁ ⣊ ⣗          17 2478 123578                                   
44     00000101100  airport   ⠁⠊⠗⠏⠕⠗⠞   ⡁⣊⣗⣏⢕⣗⠞   ⡁ ⣊ ⣗ ⣏        17 2478 123578 123478 1358 123578 2345           
45     00000101101  aisle     ⠁⠊⠎⠇⠑     ⡁⣊⢎⡇⣑     ⡁ ⣊ ⢎ ⡇        17 2478 2348 1237 1578                           
46     00000101110  alarm     ⠁⠇⠁⠗⠍     ⡁⡇⡁⣗⢍     ⡁ ⡇ ⡁ ⣗        17 1237 17 123578 1348                           
47     00000101111  album     ⠁⠇⠃⠥⠍     ⡁⡇⠃⢥⢍     ⡁ ⡇ ⠃ ⢥        17 1237 12 1368 1348                             
48     00000110000  alcohol   ⠁⠇⠉⠕⠓⠕⠇   ⡁⡇⣉⢕⢓⢕⡇   ⡁ ⡇ ⣉ ⢕        17 1237 1478 1358 1258 1358 1237                 
49     00000110001  alert     ⠁⠇⠑⠗⠞     ⡁⡇⣑⣗⠞     ⡁ ⡇ ⣑ ⣗        17 1237 1578 123578 2345                         
50     00000110010  alien     ⠁⠇⠊⠑⠝     ⡁⡇⣊⣑⠝     ⡁ ⡇ ⣊ ⣑        17 1237 2478 1578 1345                           
51     00000110011  all       ⠁⠇⠇       ⡁⡇⡇       ⡁ ⡇ ⡇          17 1237 1237                                     
52     00000110100  alley     ⠁⠇⠇⠑⠽     ⡁⡇⡇⣑⢽     ⡁ ⡇ ⡇ ⣑        17 1237 1237 1578 134568                         
53     00000110101  allow     ⠁⠇⠇⠕⠺     ⡁⡇⡇⢕⣺     ⡁ ⡇ ⡇ ⢕        17 1237 1237 1358 245678                         
54     00000110110  almost    ⠁⠇⠍⠕⠎⠞    ⡁⡇⢍⢕⢎⠞    ⡁ ⡇ ⢍ ⢕        17 1237 1348 1358 2348 2345                      
55     00000110111  alone     ⠁⠇⠕⠝⠑     ⡁⡇⢕⠝⣑     ⡁ ⡇ ⢕ ⠝        17 1237 1358 1345 1578                           
56     00000111000  alpha     ⠁⠇⠏⠓⠁     ⡁⡇⣏⢓⡁     ⡁ ⡇ ⣏ ⢓        17 1237 123478 1258 17                           
57     00000111001  already   ⠁⠇⠗⠑⠁⠙⠽   ⡁⡇⣗⣑⡁⡙⢽   ⡁ ⡇ ⣗ ⣑        17 1237 123578 1578 17 1457 134568               
58     00000111010  also      ⠁⠇⠎⠕      ⡁⡇⢎⢕      ⡁ ⡇ ⢎ ⢕        17 1237 2348 1358                                
59     00000111011  alter     ⠁⠇⠞⠑⠗     ⡁⡇⠞⣑⣗     ⡁ ⡇ ⠞ ⣑        17 1237 2345 1578 123578                         
60     00000111100  always    ⠁⠇⠺⠁⠽⠎    ⡁⡇⣺⡁⢽⢎    ⡁ ⡇ ⣺ ⡁        17 1237 245678 17 134568 2348                    
61     00000111101  amateur   ⠁⠍⠁⠞⠑⠥⠗   ⡁⢍⡁⠞⣑⢥⣗   ⡁ ⢍ ⡁ ⠞        17 1348 17 2345 1578 1368 123578                 
62     00000111110  amazing   ⠁⠍⠁⠵⠊⠝⠛   ⡁⢍⡁⠵⣊⠝⠛   ⡁ ⢍ ⡁ ⠵        17 1348 17 1356 2478 1345 1245                   
63     00000111111  among     ⠁⠍⠕⠝⠛     ⡁⢍⢕⠝⠛     ⡁ ⢍ ⢕ ⠝        17 1348 1358 1345 1245                           
64     00001000000  amount    ⠁⠍⠕⠥⠝⠞    ⡁⢍⢕⢥⠝⠞    ⡁ ⢍ ⢕ ⢥        17 1348 1358 1368 1345 2345                      
65     00001000001  amused    ⠁⠍⠥⠎⠑⠙    ⡁⢍⢥⢎⣑⡙    ⡁ ⢍ ⢥ ⢎        17 1348 1368 2348 1578 1457                      
66     00001000010  analyst   ⠁⠝⠁⠇⠽⠎⠞   ⡁⠝⡁⡇⢽⢎⠞   ⡁ ⠝ ⡁ ⡇        17 1345 17 1237 134568 2348 2345                 
67     00001000011  anchor    ⠁⠝⠉⠓⠕⠗    ⡁⠝⣉⢓⢕⣗    ⡁ ⠝ ⣉ ⢓        17 1345 1478 1258 1358 123578                    
68     00001000100  ancient   ⠁⠝⠉⠊⠑⠝⠞   ⡁⠝⣉⣊⣑⠝⠞   ⡁ ⠝ ⣉ ⣊        17 1345 1478 2478 1578 1345 2345                 
69     00001000101  anger     ⠁⠝⠛⠑⠗     ⡁⠝⠛⣑⣗     ⡁ ⠝ ⠛ ⣑        17 1345 1245 1578 123578                         
70     00001000110  angle     ⠁⠝⠛⠇⠑     ⡁⠝⠛⡇⣑     ⡁ ⠝ ⠛ ⡇        17 1345 1245 1237 1578                           
71     00001000111  angry     ⠁⠝⠛⠗⠽     ⡁⠝⠛⣗⢽     ⡁ ⠝ ⠛ ⣗        17 1345 1245 123578 134568                       
72     00001001000  animal    ⠁⠝⠊⠍⠁⠇    ⡁⠝⣊⢍⡁⡇    ⡁ ⠝ ⣊ ⢍        17 1345 2478 1348 17 1237                        
73     00001001001  ankle     ⠁⠝⠅⠇⠑     ⡁⠝⠅⡇⣑     ⡁ ⠝ ⠅ ⡇        17 1345 13 1237 1578                             
74     00001001010  announce  ⠁⠝⠝⠕⠥⠝⠉⠑  ⡁⠝⠝⢕⢥⠝⣉⣑  ⡁ ⠝ ⠝ ⢕        17 1345 1345 1358 1368 1345 1478 1578            
75     00001001011  annual    ⠁⠝⠝⠥⠁⠇    ⡁⠝⠝⢥⡁⡇    ⡁ ⠝ ⠝ ⢥        17 1345 1345 1368 17 1237                        
76     00001001100  another   ⠁⠝⠕⠞⠓⠑⠗   ⡁⠝⢕⠞⢓⣑⣗   ⡁ ⠝ ⢕ ⠞        17 1345 1358 2345 1258 1578 123578               
77     00001001101  answer    ⠁⠝⠎⠺⠑⠗    ⡁⠝⢎⣺⣑⣗    ⡁ ⠝ ⢎ ⣺        17 1345 2348 245678 1578 123578                  
78     00001001110  antenna   ⠁⠝⠞⠑⠝⠝⠁   ⡁⠝⠞⣑⠝⠝⡁   ⡁ ⠝ ⠞ ⣑        17 1345 2345 1578 1345 1345 17                   
79     00001001111  antique   ⠁⠝⠞⠊⠟⠥⠑   ⡁⠝⠞⣊⡟⢥⣑   ⡁ ⠝ ⠞ ⣊        17 1345 2345 2478 123457 1368 1578               
80     00001010000  anxiety   ⠁⠝⠭⠊⠑⠞⠽   ⡁⠝⠭⣊⣑⠞⢽   ⡁ ⠝ ⠭ ⣊        17 1345 1346 2478 1578 2345 134568               
81     00001010001  any       ⠁⠝⠽       ⡁⠝⢽       ⡁ ⠝ ⢽          17 1345 134568                                   
82     00001010010  apart     ⠁⠏⠁⠗⠞     ⡁⣏⡁⣗⠞     ⡁ ⣏ ⡁ ⣗        17 123478 17 123578 2345                         
83     00001010011  apology   ⠁⠏⠕⠇⠕⠛⠽   ⡁⣏⢕⡇⢕⠛⢽   ⡁ ⣏ ⢕ ⡇        17 123478 1358 1237 1358 1245 134568             
84     00001010100  appear    ⠁⠏⠏⠑⠁⠗    ⡁⣏⣏⣑⡁⣗    ⡁ ⣏ ⣏ ⣑        17 123478 123478 1578 17 123578                  
85     00001010101  apple     ⠁⠏⠏⠇⠑     ⡁⣏⣏⡇⣑     ⡁ ⣏ ⣏ ⡇        17 123478 123478 1237 1578                       
86     00001010110  approve   ⠁⠏⠏⠗⠕⠧⠑   ⡁⣏⣏⣗⢕⣧⣑   ⡁ ⣏ ⣏ ⣗        17 123478 123478 123578 1358 123678 1578         
